Kód;Obec;Voliči;Obálky;Platné hlasy;1;2;3;4;44;5;6;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
589578;Ivaň;0;0;0;390;0;0;0;0;0;0;26,58;0,00;0,00;0,00;0,00;15,18;9,70;0,00;13,50;0,00;1,26;0,00;0,00;0,42;0,00;0,42;0,84;0,00;0,42;18,56;3,79;6,32;2,95;0,00;0,00
589586;Jesenec;0;0;0;246;0;0;0;0;0;0;30,93;0,00;0,00;0,00;1,43;10,07;11,51;1,43;4,31;2,15;2,87;0,00;0,00;0,00;0,00;2,87;0,00;0,00;0,00;17,26;3,59;3,59;6,47;0,00;1,43
589594;Kladky;0;0;0;289;0;0;0;0;0;0;21,42;0,00;0,00;0,00;0,71;12,14;17,14;1,42;5,00;0,00;2,14;0,00;0,00;0,71;0,00;1,42;0,71;1,42;0,00;12,14;2,14;6,42;12,14;0,71;2,14
589608;Klenovice na Hané;0;0;0;654;0;0;0;0;0;0;35,31;0,28;0,00;0,28;0,00;17,23;8,19;0,00;3,67;0,00;0,00;0,28;0,00;0,00;0,00;1,97;1,69;1,41;0,28;14,68;0,56;8,75;4,80;0,00;0,56
589616;Klopotovice;0;0;0;238;0;0;0;0;0;0;23,63;0,60;0,00;0,00;0,00;20,00;10,30;0,60;3,63;0,60;0,00;0,00;0,00;0,60;0,00;3,03;0,00;0,00;1,81;16,36;0,60;6,06;12,12;0,00;0,00
589624;Konice;0;0;0;0;0;0;0;0;0;2285;20,47;0,00;0,00;0,00;1,69;11,34;14,65;0,07;6,70;0,22;0,58;0,14;0,14;0,14;0,22;5,08;0,36;1,10;1,03;14,21;2,87;6,92;11,63;0,14;0,22
589632;Kostelec na Hané;0;0;0;0;2302;0;0;0;0;0;29,40;0,00;0,00;0,00;0,30;6,50;10,27;0,37;7,33;0,52;0,68;0,07;0,15;0,30;0,00;3,55;0,45;0,75;1,66;15,34;4,00;8,46;9,82;0,00;0,00
589641;Koválovice-Osíčany;0;0;0;232;0;0;0;0;0;0;21,85;0,00;0,00;0,00;0,00;16,55;19,86;0,00;2,64;0,00;0,00;0,66;0,00;0,00;2,64;1,98;0,00;1,98;0,66;17,88;0,66;3,31;9,27;0,00;0,00
589659;Kralice na Hané;0;0;0;1257;0;0;0;0;0;0;31,09;0,24;0,24;0,12;0,74;7,08;7,46;0,00;11,94;0,24;1,11;0,24;0,00;0,12;0,12;4,85;0,87;0,49;0,62;14,42;2,36;8,58;6,59;0,24;0,12
589667;Krumsín;0;0;0;465;0;0;0;0;0;0;22,53;0,35;0,00;0,00;0,00;11,97;18,30;0,00;7,74;0,70;0,00;0,35;0,00;0,00;0,00;2,81;0,35;0,00;0,35;14,78;1,40;7,74;10,56;0,00;0,00
589675;Laškov;0;0;0;0;487;0;0;0;0;0;30,83;0,00;0,00;0,00;0,29;8,98;21,25;0,00;4,49;0,89;0,00;0,29;0,00;0,89;0,00;2,69;0,29;1,49;0,89;11,07;2,99;6,88;5,38;0,00;0,29
